SampleID,Population,STD_Length,Total_Length,Weight,IncrSums,inv_allele_count,inv_type
D2Gen5_1524,D2Gen5,30,35,0.32,28659.3,3752.6,SS
D2Gen5_1437,D2Gen5,35,41,0.41,28753.2,6744.3,NS
D2Gen5_1525,D2Gen5,37,43.3,0.28,27946.7,6987.7,NS
D2Gen5_1523,D2Gen5,40,46.8,0.3,28899.4,3125.1,SS
D2Gen5_1522,D2Gen5,41,47,0.53,29055,3487.6,SS
D2Gen5_1528,D2Gen5,42,49,0.43,30243.7,3863.8,SS
D2Gen5_512,D2Gen5,42,49.1,0.42,30228.5,7762.5,NS
D2Gen5_526,D2Gen5,42,49.1,0.57,28964.5,3553.8,SS
D2Gen5_1527,D2Gen5,44,51.4,0.49,27628.5,3402.6,SS
D2Gen5_520,D2Gen5,44,51.4,0.59,30166,3491.8,SS
D2Gen5_514,D2Gen5,45,53,0.62,27420.9,2995.2,SS
D2Gen5_529,D2Gen5,45,52.6,0.85,28177.4,3077.3,SS
D2Gen5_1157,D2Gen5,46,54,0.6,28304.5,3172.9,SS
D2Gen5_515,D2Gen5,46,56,0.6,28785.3,3370.4,SS
D2Gen5_548,D2Gen5,47,55,0.57,28073.3,6731.6,NS
D2Gen5_209,D2Gen5,47.5,55.5,0.61,30815.5,8335.7,NS
D2Gen5_1158,D2Gen5,48,56,0.73,29229.3,7540.7,NS
D2Gen5_213,D2Gen5,48,57,0.72,27786.7,6490.4,NS
D2Gen5_521,D2Gen5,48,56.1,0.64,29201.9,7127.8,NS
D2Gen5_534,D2Gen5,49,56,0.85,28767.3,7615.4,NS
D2Gen5_541,D2Gen5,49,57.3,0.69,29313.4,3816.1,SS
D2Gen5_545,D2Gen5,49,57.3,0.8,27805.7,6529.6,NS
D2Gen5_1155,D2Gen5,50,57,0.92,28185.5,3237.4,SS
D2Gen5_506,D2Gen5,50,58.5,0.73,28230.3,3547.6,SS
D2Gen5_507,D2Gen5,50,59,0.58,27023.1,6176,NS
D2Gen5_516,D2Gen5,50,58.5,0.7,29696.2,7442.9,NS
D2Gen5_523,D2Gen5,50,58.5,0.77,28355.5,6939.9,NS
D2Gen5_530,D2Gen5,50,58,0.8,28765.4,3424.7,SS
D2Gen5_549,D2Gen5,50,58.5,0.63,27414.8,9628.7,NN
D2Gen5_106,D2Gen5,51,59,0.72,28726.4,11894.6,NN
D2Gen5_1153,D2Gen5,51,64,1.02,30735.3,7963.3,NS
D2Gen5_518,D2Gen5,52,60,0.69,29540.9,7413.1,NS
D2Gen5_1161,D2Gen5,53,63,1.19,27706.3,2811.6,SS
D2Gen5_212,D2Gen5,53,63,0.95,28489.4,10619.4,NN
D2Gen5_547,D2Gen5,53,61,1.06,27906.9,6273.2,NS
D2Gen5_550,D2Gen5,53,61,1,28173.6,6955.7,NS
D2Gen5_508,D2Gen5,54,65,0.88,28693.3,6735,NS
D2Gen5_524,D2Gen5,54,62,0.97,28707.5,3311.9,SS
D2Gen5_551,D2Gen5,54,63.1,0.77,29507.3,3839.9,SS
D2Gen5_513,D2Gen5,55,64.3,0.61,27941,10986.7,NN
D2Gen5_532,D2Gen5,55,64.3,1.2,28164.1,3467.7,SS
D2Gen5_540,D2Gen5,56,66,1.3,27307.7,6182.7,NS
D2Gen5_527,D2Gen5,57,66.7,1.09,27456.1,5510.6,NS
D2Gen5_537,D2Gen5,57,66.7,1.34,27256.9,6095,NS
D2Gen5_505,D2Gen5,58,68,1.29,28127.4,5880.2,NS
D2Gen5_525,D2Gen5,58,67.8,0.98,28153.9,5788.6,NS
D2Gen5_519,D2Gen5,59,69,1.12,29243.3,7273.7,NS
D2Gen5_522,D2Gen5,60,71,1.15,30097.3,3826.9,SS
D2Gen5_1165,D2Gen5,65,76,2.4,28543.6,6794.1,NS
D2Gen5_1162,D2Gen5,69,80,2.82,28262.5,6676.1,NS
