SampleID,Population,STD_Length,Total_Length,Weight,IncrSums
U1Gen5_226,U1Gen5,52,61,0.74,17966.2108339992
U1Gen5_281,U1Gen5,83,92,3.01,17752.6721979995
U1Gen5_284,U1Gen5,85,97,5.18,17638.6363189993
U1Gen5_288,U1Gen5,80,93,3.96,17511.0981019992
U1Gen5_304,U1Gen5,80,90,3.9,16820.2580079997
U1Gen5_305,U1Gen5,59,67,2.04,17100.6578839993
U1Gen5_306,U1Gen5,59,69,1.46,17026.5950699992
U1Gen5_307,U1Gen5,61,72,1.46,17417.3926449991
U1Gen5_308,U1Gen5,81,96,5.91,16529.1889999996
U1Gen5_322,U1Gen5,58,69,1.49,16802.5387089996
U2Gen5_556,U2Gen5,78,91,3.24,17815.0526689992
U2Gen5_561,U2Gen5,57,64,1.14,17834.7728449991
U2Gen5_565,U2Gen5,52,58,0.82,17500.6514099996
U2Gen5_574,U2Gen5,59,67,1.65,17349.7702249993
U2Gen5_577,U2Gen5,77,88,3.95,17629.1658159991
U2Gen5_579,U2Gen5,57,68,1.24,18765.3062819994
U2Gen5_581,U2Gen5,56,65,1.16,18831.2623819994
U2Gen5_585,U2Gen5,77,89,4.67,18346.8223089993
U2Gen5_588,U2Gen5,86,98,5.9,18087.0297569991
U2Gen5_590,U2Gen5,84,94,5.23,18621.1897399992
D1Gen5_121,D1Gen5,60,71,1.55,28603.1034649996
D1Gen5_195,D1Gen5,40,47,0.45,28090.9679529987
D1Gen5_236,D1Gen5,62,72,1.92,27976.4471309989
D1Gen5_237,D1Gen5,63,73,2.71,27917.8373789991
D1Gen5_240,D1Gen5,36,43,0.41,27077.7953049983
D1Gen5_252,D1Gen5,61,72,1.22,27741.8626169982
D1Gen5_260,D1Gen5,34,39.8,0.24,28723.7692649995
D1Gen5_264,D1Gen5,64,75,2.48,29229.2300149994
D1Gen5_266,D1Gen5,40,47,0.44,29169.8255239996
D1Gen5_342,D1Gen5,36,42.2,0.27,30777.9055959994
D2Gen5_1162,D2Gen5,69,80,2.82,28262.4627879988
D2Gen5_1165,D2Gen5,65,76,2.4,28543.578702999
D2Gen5_1437,D2Gen5,35,41,0.41,28753.2141769992
D2Gen5_1522,D2Gen5,41,47,0.53,29055.0414799993
D2Gen5_1523,D2Gen5,40,46.8,0.3,28899.3744589987
D2Gen5_1524,D2Gen5,30,35,0.32,28659.2678669996
D2Gen5_1525,D2Gen5,37,43.3,0.28,27946.689794999
D2Gen5_519,D2Gen5,59,69,1.12,29243.3192939994
D2Gen5_522,D2Gen5,60,71,1.15,30097.2603940001
D2Gen5_525,D2Gen5,58,67.8,0.98,28153.8930129984
